l2,gender,author_name,l0,l1
EastAsian,ND,5593,5593,5593
EastAsian,F,6916,6916,6916
EastAsian,M,13056,13056,13056
French,ND,115,115,115
French,F,1005,1005,1005
French,M,4204,4204,4204
Germanic,ND,88,88,88
Germanic,F,648,648,648
Germanic,M,4156,4156,4156
Hispanic,ND,138,138,138
Hispanic,F,1227,1227,1227
Hispanic,M,4761,4761,4761
Italian,ND,103,103,103
Italian,F,1568,1568,1568
Italian,M,4975,4975,4975
Japanese,ND,302,302,302
Japanese,F,898,898,898
Japanese,M,4592,4592,4592
Nordic,ND,48,48,48
Nordic,F,412,412,412
Nordic,M,1956,1956,1956
\N,ND,2362,2362,2362
\N,F,11304,11304,11304
\N,M,46423,46423,46423
