publisher,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,average
AAAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,157.0,0.0,112.0,38.0,0.0,0.0,105.25
AAAI Press,0.0,0.0,0.0,116.0,0.0,0.0,385.0,368.0,356.0,0.0,313.0,319.0,353.0,251.0,492.0,1442.0,813.0,473.45454545454544
AAAI Press / The MIT Press,230.0,0.0,180.0,0.0,194.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.25
ACL,79.0,0.0,77.0,71.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75
ACM,1101.0,1187.0,1303.0,1303.0,1903.0,2401.0,2493.0,2505.0,3063.0,2924.0,3170.0,3545.0,3430.0,3502.0,4295.0,3440.0,4307.0,2698.3529411764707
ACM Press,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
ACM/SIAM,126.0,128.0,129.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.5
Australian Computer Society,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
CEUR-WS.org,0.0,12.0,0.0,17.0,37.0,15.0,15.0,66.0,68.0,28.0,57.0,47.0,49.0,57.0,136.0,178.0,163.0,63.0
"CNRS, Toulose, France",0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
CWI/ACM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,14.0
EasyChair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,4.0,25.0,7.0,30.0
IEEE,192.0,192.0,195.0,224.0,261.0,270.0,346.0,394.0,345.0,568.0,378.0,417.0,604.0,650.0,502.0,558.0,536.0,390.11764705882354
IEEE Computer Society,565.0,989.0,527.0,1200.0,936.0,1483.0,1360.0,1868.0,1554.0,1740.0,1332.0,1660.0,1704.0,2385.0,1227.0,2732.0,1124.0,1434.4705882352941
IEEE/ACM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0
IFIP,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
IJCAI/AAAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,496.0,0.0,0.0,0.0,493.0
IJCAI/AAAI Press,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0,658.0
International World Wide Web Conferences Steering Committee / ACM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,0.0,0.0,449.0
JMLR.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,334.0,387.0,366.0,392.0,296.4
"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Matfyzpress,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
