title,publisher,name
Machine Learning and Its Application at Nooksack Falls Hydroelectric Station.,AAAI Press / The MIT Press,Scott Alexander
Machine Learning and Its Application at Nooksack Falls Hydroelectric Station.,AAAI Press / The MIT Press,Jianna Zhang
Effective End-User Interaction with Machine Learning.,AAAI Press,Saleema Amershi
Effective End-User Interaction with Machine Learning.,AAAI Press,James Fogarty
Effective End-User Interaction with Machine Learning.,AAAI Press,Ashish Kapoor
Effective End-User Interaction with Machine Learning.,AAAI Press,Desney S. Tan
ADVISOR: A Machine Learning Architecture for Intelligent Tutor Construction.,AAAI Press / The MIT Press,Joseph Beck
ADVISOR: A Machine Learning Architecture for Intelligent Tutor Construction.,AAAI Press / The MIT Press,Beverly Park Woolf
ADVISOR: A Machine Learning Architecture for Intelligent Tutor Construction.,AAAI Press / The MIT Press,Carole R. Beal
Machine Learning for Computational Psychology.,AAAI Press,Sarah M. Brown
FutureMatch: Combining Human Value Judgments and Machine Learning to Match in Dynamic Environments.,AAAI Press,John P. Dickerson
FutureMatch: Combining Human Value Judgments and Machine Learning to Match in Dynamic Environments.,AAAI Press,Tuomas Sandholm
Conventional Machine Learning for Social Choice.,AAAI Press,John A. Doucette
Conventional Machine Learning for Social Choice.,AAAI Press,Kate Larson
Conventional Machine Learning for Social Choice.,AAAI Press,Robin Cohen
Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models.,AAAI Press,David John Gagne II
Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models.,AAAI Press,Amy McGovern
Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models.,AAAI Press,Jerald Brotzge
Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models.,AAAI Press,Michael Coniglio
Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models.,AAAI Press,James Correia Jr.
